adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,genre_names
False,/9Z2uDYXqJrlmePznQQJhL6d92Rq.jpg,"10751, 35, 12, 14, 16",1226863,en,The Super Mario Galaxy Movie,"Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade.",780.1539,/eJGWx219ZcEMVQJhAgMiqo8tYY.jpg,2026-04-01,The Super Mario Galaxy Movie,False,6.796,511,"Family, Comedy, Adventure, Fantasy, Animation"
False,/1x9e0qWonw634NhIsRdvnneeqvN.jpg,"10749, 18",1523145,ru,Твоё сердце будет разбито,"High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers.",384.6462,/7wIBfBl2gejt6xHxNSK0reVIm7E.jpg,2026-03-26,Your Heart Will Be Broken,False,7.094,65,"Romance, Drama"
False,/u8DU5fkLoM5tTRukzPC31oGPxaQ.jpg,"878, 12, 14",83533,en,Avatar: Fire and Ash,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",315.4011,/aabwWZWx6z1aYP4PX2ADvbDKktd.jpg,2025-12-17,Avatar: Fire and Ash,False,7.371,2642,"Science Fiction, Adventure, Fantasy"
False,/8Tfys3mDZVp4tNoH2ktm06a0Tau.jpg,"878, 12",687163,en,Project Hail Mary,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction… but an unexpected friendship means he may not have to do it alone.",269.6938,/yihdXomYb5kTeSivtFndMy5iDmf.jpg,2026-03-15,Project Hail Mary,False,8.215,1555,"Science Fiction, Adventure"
False,/sS3zGYFPcfM5pArVNWl6qLyaSmU.jpg,"16, 28, 12, 14",980431,en,"Avatar: Aang, The Last Airbender","Avatar Aang, the world's last Airbender, learns of an ancient power that could save his culture from extinction. With the help of his friends, he embarks on a global quest to find it before it falls into the wrong hands and threatens to upend the peace they sacrificed everything to achieve.",269.687,/gPiyTLo5GGwtJl0L8TlaJF9r0KE.jpg,2026-10-09,"Avatar: Aang, The Last Airbender",False,0.0,0,"Animation, Action, Adventure, Fantasy"
False,/gM1kQRPwOVW1Eos5tVWqcYmHR5S.jpg,"27, 9648",1470130,en,The Mortuary Assistant,"Rebecca Owens, a recent mortuary science graduate takes a night shift job at River Fields Mortuary. Initially, the job seems straightforward — embalming bodies, completing paperwork, and keeping things tidy. But once Rebecca starts working the night shift, things take a dark turn.",232.8917,/72AoFPC5TY4DfJwXXS9rPwPeReD.jpg,2026-02-13,The Mortuary Assistant,False,5.427,75,"Horror, Mystery"
False,/u53UYu5XG2hNgWGvs3xGhAVzypl.jpg,"16, 10751, 878, 35, 12",1327819,en,Hoppers,"Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined.",219.481,/xjtWQ2CL1mpmMNwuU5HeS4Iuwuu.jpg,2026-03-04,Hoppers,False,7.581,480,"Animation, Family, Science Fiction, Comedy, Adventure"
False,/3ooXDVaz4xHKtwe4lkmF1gNopOC.jpg,"27, 53",1290417,en,Thrash,"When a Category 5 hurricane decimates a coastal town, the storm surge brings devastation, chaos, and something far more frightening onto shore: hungry sharks.",212.0369,/adk8weka3O5648g3de4z3y4aE7G.jpg,2026-04-10,Thrash,False,5.99,337,"Horror, Thriller"
False,/bYkgJUGlkDrKzCrN6Jrd1qVx9aB.jpg,"35, 10749",20222,es,Sexo con amor,"In Santiago, Chile, the schoolteacher Luisa proposes a debate about sex with the parents of her students with the intention of giving classes about sex education to the youngsters.",206.2357,/9Unz4SnlkXg0OAxgiLKZAfu096c.jpg,2003-03-27,Sex with Love,False,6.5,240,"Comedy, Romance"
False,/jRsjWwZzI39bTm44FNhRtiICd9k.jpg,"35, 28, 12",1084577,en,Balls Up,"Two marketing executives go ""balls out"" and pitch a bold full‑coverage condom sponsorship with the World Cup. After their drunken celebration in Brazil sparks a global scandal, they must outrun furious fans, criminals, and power-hungry officials to salvage their careers and make it home alive.",203.8693,/xwvJ3WzdJ1OCuDoY8LAxBUlQyig.jpg,2026-04-15,Balls Up,False,5.428,76,"Comedy, Action, Adventure"
False,/nHxWyy18SvAZ8jJeemtS8k1UNjM.jpg,"28, 80, 53",1290821,en,Shelter,"A man living in self-imposed exile on a remote island rescues a young girl from a violent storm, setting off a chain of events that forces him out of seclusion to protect her from enemies tied to his past.",202.7974,/buPFnHZ3xQy6vZEHxbHgL1Pc6CR.jpg,2026-01-28,Shelter,False,6.785,562,"Action, Crime, Thriller"
False,/wns4x1GyxCudgOZRyhXKjXVJf3T.jpg,"12, 53, 878",840464,en,Greenland 2: Migration,"Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home.",201.7213,/z2tqCJLsw6uEJ8nJV8BsQXGa3dr.jpg,2026-01-07,Greenland 2: Migration,False,6.483,878,"Adventure, Thriller, Science Fiction"
False,/gCmfeKmEAZBP5gcXpiqb0gii9rS.jpg,"27, 53, 35",1198994,en,Send Help,"Two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the island, they must overcome past grievances and work together to survive, but ultimately, it's a battle of wills and wits to make it out alive.",191.8247,/mjkS2iAgWj3ik1DTjvI15nHZ7yl.jpg,2026-01-22,Send Help,False,7.031,1023,"Horror, Thriller, Comedy"
