adult,backdrop_path,genre_ids,id,title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count,genre_names
False,/rZfmzpixLKLR3Hg2u0WgC7XLFl8.jpg,27,1339713,Obsession,en,Obsession,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.",711.9924,/6X4qFYBsG3bpWDG2XIKqr04kFJa.jpg,2026-05-13,False,False,7.917,517,Horror
False,/xugEpZk9YQ0DIz1aFvH5HGkqpZK.jpg,"27, 9648",1304313,Lee Cronin's The Mummy,en,Lee Cronin's The Mummy,"The young daughter of a journalist disappears into the desert without a trace—eight years later, the broken family is shocked when she is returned to them, as what should be a joyful reunion turns into a living nightmare.",430.9474,/1q308iixueCU4pFtSYugNOevtNx.jpg,2026-04-15,False,False,8.055,1563,"Horror, Mystery"
False,/e5IdZ1OEWMYxTeu51tI67gXvfpn.jpg,"80, 18, 53",1433117,Kara,ta,கர,"A thief tries to go straight, but when predatory banks trap his father in debt, he returns to crime — with a determined cop closing in on his trail.",461.3196,/6U6i4qhgHR1MWkUb6OGQwNpqcZC.jpg,2026-04-30,False,False,6.1,15,"Crime, Drama, Thriller"
False,/oUozq2XHWifwAVOoS1qHU0qfXqM.jpg,"27, 9648, 878",1083381,Backrooms,en,Backrooms,A strange doorway appears in the basement of a furniture showroom.,292.4706,/rhGx6E3qRNMgj3i5su2oukNHwIQ.jpg,2026-05-27,False,False,6.736,305,"Horror, Mystery, Science Fiction"
False,/dd31qJxOarrHyGZwYsCzOjobQzP.jpg,"28, 53",1380291,Tom Clancy's Jack Ryan: Ghost War,en,Tom Clancy's Jack Ryan: Ghost War,"Jack Ryan is reluctantly pulled back into espionage when an international covert mission unravels a deadly conspiracy. Racing against time, he joins CIA allies Mike November & James Greer and sharp MI6 officer Emma Marlowe to battle a rogue black-ops unit in a high-stakes, deeply personal fight.",259.5,/8ehYxUh5MWE41AeE9gkHE8DKzvB.jpg,2026-05-20,False,False,7.103,468,"Action, Thriller"
False,/qO55CD8tgVL1T4WKn6zYFFiD6lL.jpg,"28, 18, 80",1439930,The Punisher: One Last Kill,en,The Punisher: One Last Kill,"As Frank Castle searches for meaning beyond revenge, an unexpected force pulls him back into the fight.",258.8412,/qQclTgLMDvGBuUBFGHRipxkEwWR.jpg,2026-05-12,False,False,8.371,1448,"Action, Drama, Crime"
False,/2I1OFQJ0L9T0dpU6FobKFWV2PxX.jpg,"878, 12",687163,Project Hail Mary,en,Project Hail Mary,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction.",248.3935,/yihdXomYb5kTeSivtFndMy5iDmf.jpg,2026-03-15,False,False,8.653,4602,"Science Fiction, Adventure"
False,/9Z2uDYXqJrlmePznQQJhL6d92Rq.jpg,"10751, 35, 12, 14, 16",1226863,The Super Mario Galaxy Movie,en,The Super Mario Galaxy Movie,"Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade.",227.7786,/eJGWx219ZcEMVQJhAgMiqo8tYY.jpg,2026-04-01,False,False,8.119,2323,"Family, Comedy, Adventure, Fantasy, Animation"
False,/gRoZG3Z0zJxgElmTsVHOl2dNYXe.jpg,"28, 80, 53",1582770,Dhurandhar: The Revenge,hi,धुरंधर: द रिवेंज,"As rival gangs, corrupt officials and a ruthless Major Iqbal close in, Hamza's mission for his country spirals into a bloody personal war where the line between patriot and monster disappears in the streets of Lyari.",237.5949,/ov8vrRLZGoXHpYjSY9Vpv1tHJX7.jpg,2026-03-18,False,False,7.3,106,"Action, Crime, Thriller"
False,/1x9e0qWonw634NhIsRdvnneeqvN.jpg,"10749, 18",1523145,Your Heart Will Be Broken,ru,Твоё сердце будет разбито,"High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers.",223.9237,/7wIBfBl2gejt6xHxNSK0reVIm7E.jpg,2026-03-26,False,False,6.8,83,"Romance, Drama"
